Stoff;Kategorie;Schicht;Wirkung_spuerbar;Longevity_Pathway;Wirkmechanismus;Evidenz;Dosis_wirksam_mg;Form_empfohlen;EU_Status;EFSA_Claim;Hitzestabil_90C;Wasserloeslich;Geschmack_Geruch;Max_Dosis_mg;Kontraindikationen;Synergie;Kostenklasse;Keep_Cut;Begruendung
Magnesium-Taurat;H_Mineral;Kandidat;indirekt;-;Mg+Taurin kombiniert;mittel;100-200;Taurat;zugelassen;ja;ja;ja;leicht;-;Niereninsuff.;-;mittel;PRUEFEN;Synergie Mg+Taurin
Zink;H_Mineral;Basis;nein;-;Immun, Testosteron, Antioxidans;hoch;10-15;Bisglycinat/Picolinat;zugelassen;ja;ja;ja;metallisch;25;Kupfermangel (hoch);-;niedrig;OPTIONAL;Immun/Hormon, Geschmack metallisch
Selen;H_Mineral;Basis;nein;Antioxidans;Glutathion-Peroxidase;hoch;0.05-0.1;Selenomethionin;zugelassen;ja;ja;ja;neutral;0.3;Selenose (hoch);NAC;niedrig;OPTIONAL;Synergie mit NAC (Glutathion)
Chrom;H_Mineral;Kandidat;nein;Glukose;Insulinsensitivitaet;niedrig-mittel;0.05-0.2;Picolinat;zugelassen;ja (Makronaehrstoff-Metab.);ja;ja;neutral;-;keine relevant;-;niedrig;CUT;Schwache Evidenz
Bor;H_Mineral;Kandidat;nein;Hormon/Knochen;Testosteron/Vitamin-D-Modulation;niedrig;3-10;Borat;zugelassen;nein;ja;ja;neutral;-;keine relevant;-;niedrig;CUT;Nische
Lithiumorotat (Mikrodosis);H_Mineral;-;nein;Neuroprotektion;Mikrodosis-Lithium;niedrig;1-5 (elementar);Orotat;Grauzone/riskant;nein;ja;ja;neutral;-;Schilddruese, Niere;-;mittel;CUT;Status+Sicherheit heikel
Kalium/Natrium (Elektrolyte);H_Mineral;PreWorkout_SKU;ja_schwach;-;Hydration;hoch;variabel;Citrat/Chlorid;zugelassen;nein;ja;ja;salzig;-;Niereninsuff. (K);-;niedrig;PREWORKOUT;Elektrolyte fuer PreWorkout/Hydration
Beetroot (Nitrat);I_Botanik;PreWorkout_SKU;ja;Gefaesse;NO via Nitrat, Ausdauer;hoch;Nitrat 300-600;Konzentrat standard.;zugelassen;nein;ja;ja;erdig-suess;-;keine relevant;Citrullin;niedrig;PREWORKOUT;Ausdauer/VO2, Geschmack erdig
Pomegranat (Ellagsaeure);I_Botanik;OPTIONAL_Layer;nein;Mitophagie (Urolithin-Vorstufe);Ellagitannine -> Urolithin im Darm;mittel;250-500;standard. Ellagsaeure;zugelassen;nein;teilweise;teilweise;herb-fruchtig;-;keine relevant;-;mittel;PRUEFEN;Natuerlicher Urolithin-Weg (umgeht Patent!)
Pycnogenol (Pinienrinde);I_Botanik;Kandidat;ja_schwach;Gefaesse;OPC, Durchblutung/Antioxidans;mittel;100-200;standard. OPC;zugelassen;nein;teilweise;teilweise;adstringierend;-;Autoimmun;-;hoch;CUT;Teuer, Nische
Traubenkernextrakt (OPC);I_Botanik;Kandidat;nein;Antioxidans;OPC-Antioxidans;mittel;100-300;standard.;zugelassen;nein;teilweise;teilweise;adstringierend-bitter;-;Antikoagulantien;-;niedrig;CUT;Antioxidans-Nische
Piperin (schwarzer Pfeffer);I_Botanik;Hilfsstoff;nein;-;Bioverfuegbarkeits-Enhancer;hoch;5-20;BioPerine 95%;zugelassen;nein;ja;teilweise;scharf-pfeffrig;20;Medikamenten-Interaktion!;Curcumin;niedrig;PRUEFEN;Boostet Aufnahme, aber Arzneimittel-Interaktionen
Ingwer-Extrakt;I_Botanik;Kandidat;ja_schwach;Inflammation;Gingerole, Verdauung/Antiinflammatorisch;mittel;250-1000;standard. Gingerole;zugelassen;ja;teilweise;teilweise;scharf-wuerzig;-;Antikoagulantien;-;niedrig;PRUEFEN;Geschmack koennte zu Kaffee passen (Chai-Richtung)
Zimt-Extrakt;I_Botanik;Kandidat;nein;Glukose;Blutzucker (Ceylon);mittel;250-500;Ceylon (cumarinarm);zugelassen;ja;teilweise;teilweise;zimtig;-;Cumarin (Cassia!);-;niedrig;PRUEFEN;Glukose+Geschmack, NUR Ceylon (Cumarin)
Tart Cherry;I_Botanik;Evening_SKU;nein;Schlaf/Recovery;Melatonin, Anthocyane;mittel;Konzentrat 480;standard.;zugelassen;nein;ja;ja;sauer-fruchtig;-;keine relevant;-;mittel;EVENING;Recovery/Schlaf, Evening
Matcha;I_Botanik;Kandidat;ja;-;Koffein+L-Theanin+EGCG natuerlich;hoch;2000-4000;ceremonial;zugelassen;nein;teilweise;teilweise;grasig-umami;-;wie Koffein;-;mittel;CUT;Eigene Produktkategorie, nicht Kaffee
Aged Garlic Extract;I_Botanik;Kandidat;nein;Gefaesse;Herz-Kreislauf, ApoB;mittel;600-1200;AGE (Kyolic);zugelassen;nein;teilweise;teilweise;knoblauch!;-;Antikoagulantien;-;mittel;CUT;Geschmack disqualifiziert fuer Kaffee
Stevia (Reb M);J_Hilfsstoff;Sweetener;-;-;Suessung, kalorienfrei;hoch;Suessung;Reb M (fermentiert);zugelassen (E960);nein;ja;ja;suess, wenig Beigeschmack;-;keine relevant;Erythrit;niedrig;KEEP_Option;Beste Stevia-Form, Clean-Label-Suessung
Moenchsfrucht (Luo Han Guo);J_Hilfsstoff;Sweetener;-;-;Suessung, kalorienfrei;hoch;Suessung;Mogroside;zugelassen;nein;ja;ja;suess, sauber;-;keine relevant;-;mittel;KEEP_Option;Saubere Suesse, gut mit Kaffee
Erythrit;J_Hilfsstoff;Sweetener;-;-;Zuckeralkohol, Volumen+Suesse;hoch;Suessung;rein;zugelassen (E968);nein;ja;ja;suess-kuehlend;-;GI (hoch);Stevia;niedrig;PRUEFEN;Volumen+Suesse, juengste Herzdaten beachten
Allulose;J_Hilfsstoff;Sweetener;-;-;seltener Zucker, zuckeraehnlich;mittel;Suessung;rein;NF-pruefen (EU!);nein;ja;ja;zuckeraehnlich;-;GI (hoch);-;mittel;PRUEFEN;Bester Geschmack, aber EU-Zulassung pruefen
Sonnenblumen-Lecithin;J_Hilfsstoff;Emulgator;-;-;Emulgator (fettloesliche Stoffe);hoch;Hilfsstoff;Pulver;zugelassen (E322);nein;teilweise;teilweise;neutral;-;keine relevant;-;niedrig;KEEP_Option;Emulgiert CoQ10/Astaxanthin in RTD/Instant
MCT-Pulver (C8);J_Hilfsstoff;Creamer;ja_schwach;-;schnelle Energie, Traegerfett;mittel;1000-5000;C8 auf Akazienfaser;zugelassen;nein;nein;teilweise;neutral-cremig;-;GI (hoch);-;niedrig;PRUEFEN;Cremigkeit+Energie, aber Fett=Mortalitaetsdaten beachten
Kokosmilchpulver;J_Hilfsstoff;Creamer;-;-;Kremigkeit pflanzlich;hoch;Creamer;spruehgetrocknet;zugelassen;nein;nein;teilweise;kokos-cremig;-;keine relevant;-;niedrig;PRUEFEN;Vegane Kremigkeit, leichter Kokosgeschmack
Akazienfaser (Prebiotikum);J_Hilfsstoff;Kandidat;-;Darm;loesliche Faser, Praebiotikum;mittel;2000-5000;Akaziengummi;zugelassen;nein;teilweise;ja;neutral;-;GI (hoch);-;niedrig;PRUEFEN;Traegerstoff+Darmgesundheit, sanft
Inulin/FOS;J_Hilfsstoff;Kandidat;-;Darm;Praebiotikum;hoch;2000-5000;Chicoree;zugelassen;nein;teilweise;ja;leicht suess;-;GI/FODMAP!;-;niedrig;CUT;FODMAP-Blaehungen, riskant fuer Akzeptanz
Sporenbasierte Probiotika;J_Hilfsstoff;Kandidat;-;Darm;Bacillus-Sporen, hitzestabiler;mittel;1-4 Mrd CFU;B. coagulans/subtilis;zugelassen (Staemme pruefen);nein;teilweise;teilweise;neutral;-;Immunsupprimiert;-;mittel;PRUEFEN;Sporen ueberleben Hitze besser, CFU-Stabilitaet pruefen
Himalaya-Salz (Prise);J_Hilfsstoff;Hilfsstoff;-;-;Geschmacksverstaerker, Elektrolyt;-;Prise;fein;zugelassen;nein;ja;ja;salzig;-;Hypertonie (viel);-;niedrig;KEEP_Option;Hebt Kaffeegeschmack, minimale Menge
